locality	higherGeographyId	eventId	gearType	eventDateStart	eventDateStop	timeStartUtc3	timeEndUtc3	eventTime	eventDate	duration	collector1	collector2	collector3	collector4	collector1Orcid	collector2Orcid	collector3Orcid	collector4Orcid	latStartDecMin	longStartDecMin	latStopDecMin	longStopDecMin	minimumDepthInMeters	maximumDepthInMeters	maximumElevationInMeters	sampleIdsStart	sampleIdsStop	eventRemarks	latStart	longStart	parentEventID	samplingProtocol
Melchior Island, North Omega	https://data.aad.gov.au/aadc/gaz/scar/display_name.cfm?gaz_id=110104	NIS_3	NIS	2024-02-12T00:00:00Z		1899-12-31T14:45:00Z	1899-12-31T14:50:00Z	14:45-03:00/14:50-03:00	2024-02-12	0.00347222222222221	Axelle Brusselman	Manon Bayat			https://orcid.org/0009-0002-6669-2911									0		183	188		64.315098	62.930713	https://www.wikidata.org/wiki/Q137398578	Niskin bottle | https://doi.org/10.5281/zenodo.11653690 | Water samples were collected using Niskin bottles during NIS events as part of the expedition environmental parameters and biogeochemistry work. See Table 5 (Parameters to be measured in the water column) and Table 11 (Overview of the sampling effort … (DIV = diving event, NIS = Niskin event)) for the list of parameters and station-level sampling effort details.
Melchior Island, North Omega	https://data.aad.gov.au/aadc/gaz/scar/display_name.cfm?gaz_id=110104	NIS_4	NIS	2024-02-12T00:00:00Z		1899-12-31T15:09:00Z	1899-12-31T15:13:00Z	15:09-03:00/15:13-03:00	2024-02-12	0.002777777777777768	Axelle Brusselman	Manon Bayat			https://orcid.org/0009-0002-6669-2911									0		189	194		64.307023	62.947417	https://www.wikidata.org/wiki/Q137398578	Niskin bottle | https://doi.org/10.5281/zenodo.11653690 | Water samples were collected using Niskin bottles during NIS events as part of the expedition environmental parameters and biogeochemistry work. See Table 5 (Parameters to be measured in the water column) and Table 11 (Overview of the sampling effort … (DIV = diving event, NIS = Niskin event)) for the list of parameters and station-level sampling effort details.
Melchior Island, North Omega	https://data.aad.gov.au/aadc/gaz/scar/display_name.cfm?gaz_id=110104	NIS_5	NIS	2024-02-12T00:00:00Z		1899-12-31T15:19:00Z	1899-12-31T15:24:00Z	15:19-03:00/15:24-03:00	2024-02-12	0.003472222222222321	Axelle Brusselman	Manon Bayat			https://orcid.org/0009-0002-6669-2911									0		195	200		64.308496	62.94315	https://www.wikidata.org/wiki/Q137398578	Niskin bottle | https://doi.org/10.5281/zenodo.11653690 | Water samples were collected using Niskin bottles during NIS events as part of the expedition environmental parameters and biogeochemistry work. See Table 5 (Parameters to be measured in the water column) and Table 11 (Overview of the sampling effort … (DIV = diving event, NIS = Niskin event)) for the list of parameters and station-level sampling effort details.
Melchior Island, North Omega	https://data.aad.gov.au/aadc/gaz/scar/display_name.cfm?gaz_id=110104	NIS_6	NIS	2024-02-12T00:00:00Z		1899-12-31T15:30:00Z	1899-12-31T15:35:00Z	15:30-03:00/15:35-03:00	2024-02-12	0.00347222222222221	Axelle Brusselman	Manon Bayat			https://orcid.org/0009-0002-6669-2911									0		201	206		64.317163	62.927629	https://www.wikidata.org/wiki/Q137398578	Niskin bottle | https://doi.org/10.5281/zenodo.11653690 | Water samples were collected using Niskin bottles during NIS events as part of the expedition environmental parameters and biogeochemistry work. See Table 5 (Parameters to be measured in the water column) and Table 11 (Overview of the sampling effort … (DIV = diving event, NIS = Niskin event)) for the list of parameters and station-level sampling effort details.
Melchior Island, North Omega	https://data.aad.gov.au/aadc/gaz/scar/display_name.cfm?gaz_id=110104	NIS_7	NIS	2024-02-12T00:00:00Z		1899-12-31T15:39:00Z	1899-12-31T15:44:00Z	15:39-03:00/15:44-03:00	2024-02-12	0.00347222222222221	Axelle Brusselman	Manon Bayat			https://orcid.org/0009-0002-6669-2911									0		207	212		64.318697	62.926535	https://www.wikidata.org/wiki/Q137398578	Niskin bottle | https://doi.org/10.5281/zenodo.11653690 | Water samples were collected using Niskin bottles during NIS events as part of the expedition environmental parameters and biogeochemistry work. See Table 5 (Parameters to be measured in the water column) and Table 11 (Overview of the sampling effort … (DIV = diving event, NIS = Niskin event)) for the list of parameters and station-level sampling effort details.
Melchior Island, North Omega	https://data.aad.gov.au/aadc/gaz/scar/display_name.cfm?gaz_id=110104	NIS_8	NIS	2024-02-12T00:00:00Z		1899-12-31T15:48:00Z	1899-12-31T15:53:00Z	15:48-03:00/15:53-03:00	2024-02-12	0.00347222222222221	Axelle Brusselman	Manon Bayat			https://orcid.org/0009-0002-6669-2911									0		213	218		64.319872	62.92531	https://www.wikidata.org/wiki/Q137398578	Niskin bottle | https://doi.org/10.5281/zenodo.11653690 | Water samples were collected using Niskin bottles during NIS events as part of the expedition environmental parameters and biogeochemistry work. See Table 5 (Parameters to be measured in the water column) and Table 11 (Overview of the sampling effort … (DIV = diving event, NIS = Niskin event)) for the list of parameters and station-level sampling effort details.
Melchior Island, North Omega	https://data.aad.gov.au/aadc/gaz/scar/display_name.cfm?gaz_id=110104	NIS_9	NIS	2024-02-12T00:00:00Z		1899-12-31T15:57:00Z	1899-12-31T16:02:00Z	15:57-03:00/16:02-03:00	2024-02-12	0.003472222222222321	Axelle Brusselman	Manon Bayat			https://orcid.org/0009-0002-6669-2911									0		219	224		64.320347	62.923212	https://www.wikidata.org/wiki/Q137398578	Niskin bottle | https://doi.org/10.5281/zenodo.11653690 | Water samples were collected using Niskin bottles during NIS events as part of the expedition environmental parameters and biogeochemistry work. See Table 5 (Parameters to be measured in the water column) and Table 11 (Overview of the sampling effort … (DIV = diving event, NIS = Niskin event)) for the list of parameters and station-level sampling effort details.
Melchior Island, North Omega	https://data.aad.gov.au/aadc/gaz/scar/display_name.cfm?gaz_id=110104	NIS_10	NIS	2024-02-12T00:00:00Z		1899-12-31T16:15:00Z	1899-12-31T16:20:00Z	16:15-03:00/16:20-03:00	2024-02-12	0.003472222222222099	Axelle Brusselman	Manon Bayat			https://orcid.org/0009-0002-6669-2911									0		225	230	Second CH4/N2O exploded	64.320825	62.900296	https://www.wikidata.org/wiki/Q137398578	Niskin bottle | https://doi.org/10.5281/zenodo.11653690 | Water samples were collected using Niskin bottles during NIS events as part of the expedition environmental parameters and biogeochemistry work. See Table 5 (Parameters to be measured in the water column) and Table 11 (Overview of the sampling effort … (DIV = diving event, NIS = Niskin event)) for the list of parameters and station-level sampling effort details.
Melchior Island, North Omega	https://data.aad.gov.au/aadc/gaz/scar/display_name.cfm?gaz_id=110104	NIS_11	NIS	2024-02-12T00:00:00Z		1899-12-31T16:26:00Z	1899-12-31T16:31:00Z	16:26-03:00/16:31-03:00	2024-02-12	0.00347222222222221	Axelle Brusselman	Manon Bayat			https://orcid.org/0009-0002-6669-2911									0		231	236		64.319152	62.909623	https://www.wikidata.org/wiki/Q137398578	Niskin bottle | https://doi.org/10.5281/zenodo.11653690 | Water samples were collected using Niskin bottles during NIS events as part of the expedition environmental parameters and biogeochemistry work. See Table 5 (Parameters to be measured in the water column) and Table 11 (Overview of the sampling effort … (DIV = diving event, NIS = Niskin event)) for the list of parameters and station-level sampling effort details.
Melchior Island, North Omega	https://data.aad.gov.au/aadc/gaz/scar/display_name.cfm?gaz_id=110104	NIS_12	NIS	2024-02-12T00:00:00Z		1899-12-31T16:34:00Z	1899-12-31T16:39:00Z	16:34-03:00/16:39-03:00	2024-02-12	0.00347222222222221	Axelle Brusselman	Manon Bayat			https://orcid.org/0009-0002-6669-2911									0		237	242	6-7 m from glacier	64.31974	62.917007	https://www.wikidata.org/wiki/Q137398578	Niskin bottle | https://doi.org/10.5281/zenodo.11653690 | Water samples were collected using Niskin bottles during NIS events as part of the expedition environmental parameters and biogeochemistry work. See Table 5 (Parameters to be measured in the water column) and Table 11 (Overview of the sampling effort … (DIV = diving event, NIS = Niskin event)) for the list of parameters and station-level sampling effort details.
Melchior Island, North Omega	https://data.aad.gov.au/aadc/gaz/scar/display_name.cfm?gaz_id=110104	NIS_13	NIS	2024-02-12T00:00:00Z		1899-12-31T16:48:00Z	1899-12-31T16:53:00Z	16:48-03:00/16:53-03:00	2024-02-12	0.003472222222222099	Axelle Brusselman	Manon Bayat			https://orcid.org/0009-0002-6669-2911									0		243	248	Run-off	64.316989	62.914304	https://www.wikidata.org/wiki/Q137398578	Niskin bottle | https://doi.org/10.5281/zenodo.11653690 | Water samples were collected using Niskin bottles during NIS events as part of the expedition environmental parameters and biogeochemistry work. See Table 5 (Parameters to be measured in the water column) and Table 11 (Overview of the sampling effort … (DIV = diving event, NIS = Niskin event)) for the list of parameters and station-level sampling effort details.
Melchior Island, North Omega	https://data.aad.gov.au/aadc/gaz/scar/display_name.cfm?gaz_id=110104	NIS_14	NIS	2024-02-12T00:00:00Z		1899-12-31T16:59:00Z	1899-12-31T17:04:00Z	16:59-03:00/17:04-03:00	2024-02-12	0.00347222222222221	Axelle Brusselman	Manon Bayat			https://orcid.org/0009-0002-6669-2911									0		249	254	Run-off	64.319271	62.917854	https://www.wikidata.org/wiki/Q137398578	Niskin bottle | https://doi.org/10.5281/zenodo.11653690 | Water samples were collected using Niskin bottles during NIS events as part of the expedition environmental parameters and biogeochemistry work. See Table 5 (Parameters to be measured in the water column) and Table 11 (Overview of the sampling effort … (DIV = diving event, NIS = Niskin event)) for the list of parameters and station-level sampling effort details.
Melchior Island, North Omega	https://data.aad.gov.au/aadc/gaz/scar/display_name.cfm?gaz_id=110104	NIS_15	NIS	2024-02-12T00:00:00Z		1899-12-31T17:08:00Z	1899-12-31T17:13:00Z	17:08-03:00/17:13-03:00	2024-02-12	0.003472222222222099	Axelle Brusselman	Manon Bayat			https://orcid.org/0009-0002-6669-2911									0		255	260	No Run-off	64.32025	62.915516	https://www.wikidata.org/wiki/Q137398578	Niskin bottle | https://doi.org/10.5281/zenodo.11653690 | Water samples were collected using Niskin bottles during NIS events as part of the expedition environmental parameters and biogeochemistry work. See Table 5 (Parameters to be measured in the water column) and Table 11 (Overview of the sampling effort … (DIV = diving event, NIS = Niskin event)) for the list of parameters and station-level sampling effort details.
Melchior Island, North Omega	https://data.aad.gov.au/aadc/gaz/scar/display_name.cfm?gaz_id=110104	NIS_16	NIS	2024-02-12T00:00:00Z		1899-12-31T17:17:00Z	1899-12-31T17:22:00Z	17:17-03:00/17:22-03:00	2024-02-12	0.003472222222222099	Axelle Brusselman	Manon Bayat			https://orcid.org/0009-0002-6669-2911									0		261	266	No Run-off	64.320581	62.918766	https://www.wikidata.org/wiki/Q137398578	Niskin bottle | https://doi.org/10.5281/zenodo.11653690 | Water samples were collected using Niskin bottles during NIS events as part of the expedition environmental parameters and biogeochemistry work. See Table 5 (Parameters to be measured in the water column) and Table 11 (Overview of the sampling effort … (DIV = diving event, NIS = Niskin event)) for the list of parameters and station-level sampling effort details.
Melchior Island, North Omega	https://data.aad.gov.au/aadc/gaz/scar/display_name.cfm?gaz_id=110104	ROV_2	ROV	2024-02-12T00:00:00Z		1899-12-31T13:46:00Z	1899-12-31T13:57:00Z	13:46-03:00/13:57-03:00	2024-02-12	0.007638888888888751	Lea Katz	Henri Robert			https://orcid.org/0000-0001-5748-602X				64°19,235	62°55,418			0	20							https://www.wikidata.org/wiki/Q137398578	Remotely Operated Vehicle | https://doi.org/10.5281/zenodo.11653690 | A small affordable Remotely Operated Vehicle (ROV), the BlueROV2 from BlueRobotics, was equipped with a downward looking GoPro (HERO10), a single-beam sonar and a pair of lasers. The ROV was deployed from the Australis itself or from a Bombard C4 tender. With a person managing the tether to assist the pilot. GPS coordinates were taken on the surface using a handheld GPS (Garmin Oregon 600), then the ROV headed straight downwards until reaching the bottom. It was then flown at a constant altitude above the seafloor (1 meter), with a known bearing, for approx. 15 minutes at a pace of 0,1m/s, resulting in transects between 90-110 meters, depending on the geomorphological characteristics of the site. Then, it was brought back straight upwards to the surface and a second GPS point was recorded. If, for weather or logistic reasons, it was not possible to retrieve the second GPS point, it was calculated afterwards using distance and bearing.
Melchior Island, North Omega	https://data.aad.gov.au/aadc/gaz/scar/display_name.cfm?gaz_id=110104	ROV_3	ROV	2024-02-12T00:00:00Z		1899-12-31T16:27:00Z	1899-12-31T16:41:00Z	16:27-03:00/16:41-03:00	2024-02-12	0.009722222222222188	Lea Katz	Henri Robert			https://orcid.org/0000-0001-5748-602X				64°19,235	62°55,418			5	13							https://www.wikidata.org/wiki/Q137398578	Remotely Operated Vehicle | https://doi.org/10.5281/zenodo.11653690 | A small affordable Remotely Operated Vehicle (ROV), the BlueROV2 from BlueRobotics, was equipped with a downward looking GoPro (HERO10), a single-beam sonar and a pair of lasers. The ROV was deployed from the Australis itself or from a Bombard C4 tender. With a person managing the tether to assist the pilot. GPS coordinates were taken on the surface using a handheld GPS (Garmin Oregon 600), then the ROV headed straight downwards until reaching the bottom. It was then flown at a constant altitude above the seafloor (1 meter), with a known bearing, for approx. 15 minutes at a pace of 0,1m/s, resulting in transects between 90-110 meters, depending on the geomorphological characteristics of the site. Then, it was brought back straight upwards to the surface and a second GPS point was recorded. If, for weather or logistic reasons, it was not possible to retrieve the second GPS point, it was calculated afterwards using distance and bearing.
Melchior Island, North Omega	https://data.aad.gov.au/aadc/gaz/scar/display_name.cfm?gaz_id=110104	RD_1	RD	2024-02-12T00:00:00Z		1899-12-31T13:30:00Z	1899-12-31T13:50:00Z	13:30-03:00/13:50-03:00	2024-02-12	0.01388888888888895	Henri Robert								64°19,242	62°55,372	64°19,199	62°55,421	5	20		152	170				https://www.wikidata.org/wiki/Q137398578	Rauschert Dredge | https://doi.org/10.5281/zenodo.11653690 | A “Rauschert” dredge (RD) was used at each working area to sample the general macro-benthic communities. This small dredge designed by Biologist Martin Rauschert (AWI) several decades ago is an excellent tool (widely used in the scientific benthic research community) to capture a large diversity of specimen of all taxa and keep them in a good shape for further identification and processing. The dredge consists of a 50x50x20 cm double sided sledge-like metal frame that slides on the sea floor (on either side). Organisms are lifted from the sediment surface by a chain that scrapes the seabed under the dredge’s frame. At the bottom of the dredge a large 50x70x20 cm bag of 500µ mesh is attached to collect all the floating organisms lifted by the chain. This collecting bag is protected by a coarse nylon 1 cm mesh size bag to support the weight of the sample collected. Both bags are protected on top and at the bottom by a rubber carpet that covers the whole surface of the collecting bag. The RD is usually deployed from a zodiac but can also be deployed from the deck of Australis. The RD is being held and hauled by a rope of at least 1.5 times the length of the depth of deployment. A distance of 100 meter is travelled to the end point of deployment at very low speed that allows the dredge to sweep the sea floor without floating above the ground. At the end point the rope is pulled by hand until the RD reaches the water surface. The whole device containing the samples in its bags is placed in a bucket for further processing on the ship’s deck. A total of 15 RD was deployed during the TANGO2 expedition at each station’s point of interest (deeper “pools”, canyons, channel slope, plateau).
Melchior Island, North Omega	https://data.aad.gov.au/aadc/gaz/scar/display_name.cfm?gaz_id=110104	DRM_1	DRM	2024-02-12T00:00:00Z		1899-12-31T09:17:00Z	1899-12-31T10:17:00Z	09:17-03:00/10:17-03:00	2024-02-12	0.04166666666666663	Bruno Danis				https://orcid.org/0000-0002-9037-7623										40			Flight Time: 45'			https://www.wikidata.org/wiki/Q137398578	Drone Mapping | https://doi.org/10.5281/zenodo.11653690 | Aerial footage was shot by Bruno Danis, Camille Moreau and Henri Robert using DJI MavicPro2, DJI Mavic Mini Pro3 drones, for mapping, photogrammetry and documentation purposes. Drone-derived media were gathered in the framework of the expedition, both for outreach and research purposes.
Melchior Island, North Omega	https://data.aad.gov.au/aadc/gaz/scar/display_name.cfm?gaz_id=110104	DIV_5	DIV	2024-02-13T00:00:00Z		1899-12-31T08:52:00Z	1899-12-31T09:48:00Z	08:52-03:00/09:48-03:00	2024-02-13	0.03888888888888892	Martin Dogniez	Anthony Voisin			https://orcid.org/0000-0002-9708-1761	https://orcid.org/0000-0003-3696-4445			64°19,235	62°55,418				21		543		Trophic Transects			https://www.wikidata.org/wiki/Q137398578	Scuba Divers | https://doi.org/10.5281/zenodo.11653690 | Diving activities are reported in the cruise report (see Table 17 Summary of diving activities during TANGO2). Underwater imagery was shot by the divers Team (Lucas Terrana, Lea Katz, Camille Moreau, Martin Dogniez and Anthony Voisin).
Melchior Island, North Omega	https://data.aad.gov.au/aadc/gaz/scar/display_name.cfm?gaz_id=110104	RD_2	RD	2024-02-13T00:00:00Z		1899-12-31T08:30:00Z	1899-12-31T08:50:00Z	08:30-03:00/08:50-03:00	2024-02-13	0.013888888888888895	Henri Robert								64°19,192	62°55,034	64°19,237	62°55,062	8	22		449	462				https://www.wikidata.org/wiki/Q137398578	Rauschert Dredge | https://doi.org/10.5281/zenodo.11653690 | A “Rauschert” dredge (RD) was used at each working area to sample the general macro-benthic communities. This small dredge designed by Biologist Martin Rauschert (AWI) several decades ago is an excellent tool (widely used in the scientific benthic research community) to capture a large diversity of specimen of all taxa and keep them in a good shape for further identification and processing. The dredge consists of a 50x50x20 cm double sided sledge-like metal frame that slides on the sea floor (on either side). Organisms are lifted from the sediment surface by a chain that scrapes the seabed under the dredge’s frame. At the bottom of the dredge a large 50x70x20 cm bag of 500µ mesh is attached to collect all the floating organisms lifted by the chain. This collecting bag is protected by a coarse nylon 1 cm mesh size bag to support the weight of the sample collected. Both bags are protected on top and at the bottom by a rubber carpet that covers the whole surface of the collecting bag. The RD is usually deployed from a zodiac but can also be deployed from the deck of Australis. The RD is being held and hauled by a rope of at least 1.5 times the length of the depth of deployment. A distance of 100 meter is travelled to the end point of deployment at very low speed that allows the dredge to sweep the sea floor without floating above the ground. At the end point the rope is pulled by hand until the RD reaches the water surface. The whole device containing the samples in its bags is placed in a bucket for further processing on the ship’s deck. A total of 15 RD was deployed during the TANGO2 expedition at each station’s point of interest (deeper “pools”, canyons, channel slope, plateau).
Melchior Island, North Omega	https://data.aad.gov.au/aadc/gaz/scar/display_name.cfm?gaz_id=110104	DIV_6	DIV	2024-02-13T00:00:00Z		1899-12-31T08:55:00Z	1899-12-31T09:50:00Z	08:55-03:00/09:50-03:00	2024-02-13	0.03819444444444453	Camille Moreau	Lucas Terrana			https://orcid.org/0000-0002-0981-7442	https://orcid.org/0000-0001-5767-3220			64°19,235	62°55,418				23		448	542	Careful: samples 448, 541, 542. Video transects, ROV testing for Leaks			https://www.wikidata.org/wiki/Q137398578	Scuba Divers | https://doi.org/10.5281/zenodo.11653690 | Diving activities are reported in the cruise report (see Table 17 Summary of diving activities during TANGO2). Underwater imagery was shot by the divers Team (Lucas Terrana, Lea Katz, Camille Moreau, Martin Dogniez and Anthony Voisin).
